,0,1,2,3,4,5,6,7
0,Month,Weekday,Second,Days from solstice,Temperature,Precipitation,Solar irradiance,KWH supplied
1,10,0,0,81,27.3,0.0,248.0,0.0
2,10,0,3600,81,26.3,0.0,107.0,0.0
3,10,0,7200,81,24.8,0.0,8.0,0.0
4,10,0,10800,81,24.0,0.0,0.0,0.0
5,10,0,14400,81,23.3,0.0,0.0,0.0
6,10,0,18000,81,22.7,0.0,0.0,0.0
7,10,0,21600,81,22.0,0.0,0.0,0.0
8,10,0,25200,81,22.0,0.0,0.0,0.0
9,10,0,28800,81,21.6,0.0,0.0,0.0
10,10,0,32400,81,21.0,0.0,0.0,0.0
11,10,0,36000,81,19.8,0.0,0.0,0.0
12,10,0,39600,81,19.0,0.0,0.0,0.0
13,10,0,43200,81,18.5,0.0,0.0,0.0
14,10,0,46800,81,18.1,0.0,0.0,0.0
15,10,0,50400,81,18.1,0.0,0.0,4.219771119422206
16,10,0,54000,81,20.7,0.0,59.0,10.644365307497738
17,10,0,57600,81,25.1,0.0,183.0,31.62854215647455
18,10,0,61200,81,27.9,0.0,402.0,60.02335296106931
19,10,0,64800,81,29.9,0.0,560.0,51.88886481070428
20,10,0,68400,81,30.9,0.0,607.0,39.78635917130382
21,10,0,72000,81,31.9,0.0,692.0,36.809285230603486
22,10,0,75600,81,32.2,0.0,621.0,36.46655653444209
23,10,0,79200,81,32.1,0.0,460.0,23.058535120154573
24,10,0,82800,81,31.4,0.0,275.0,15.370308538956287
25,10,1,0,80,29.9,0.0,143.0,16.299993651117692
26,10,1,3600,80,28.5,0.0,62.0,14.649432213661655
27,10,1,7200,80,27.2,0.0,5.0,13.517061639937065
28,10,1,10800,80,26.3,0.0,0.0,17.885575851303333
29,10,1,14400,80,25.6,0.0,0.0,15.1777675171597
30,10,1,18000,80,24.8,0.0,0.0,6.652726610848198
31,10,1,21600,80,24.0,0.0,0.0,6.652726610848198
32,10,1,25200,80,23.1,0.0,0.0,6.652726610848198
33,10,1,28800,80,22.7,0.0,0.0,6.652726610848198
34,10,1,32400,80,22.6,0.0,0.0,4.919321732799418
35,10,1,36000,80,22.6,0.0,0.0,0.0
36,10,1,39600,80,22.2,0.0,0.0,0.0
37,10,1,43200,80,22.0,0.0,0.0,0.0
38,10,1,46800,80,21.9,0.0,0.0,0.0
39,10,1,50400,80,21.5,0.0,0.0,0.0937663923887889
40,10,1,54000,80,22.2,0.0,40.0,3.45326638419796
41,10,1,57600,80,23.7,0.0,109.0,30.84372507832017
42,10,1,61200,80,24.9,0.0,221.0,54.179876239378345
43,10,1,64800,80,25.5,0.0,346.0,47.55626486701023
44,10,1,68400,80,26.0,0.0,244.0,31.28592917728256
45,10,1,72000,80,25.5,0.0,284.0,18.710943010455157
46,10,1,75600,80,25.1,0.0,214.0,12.299429589565001
47,10,1,79200,80,25.8,0.0,279.0,9.42413771085641
48,10,1,82800,80,25.5,0.0,253.0,1.523134512003757
49,10,2,0,79,24.2,0.0,189.0,0.30422628666192886
50,10,2,3600,79,22.1,0.0,76.0,8.589185981813877
51,10,2,7200,79,20.4,0.0,3.0,10.851219700160264
52,10,2,10800,79,19.5,0.0,0.0,8.822009905747219
53,10,2,14400,79,19.2,0.0,0.0,8.85778995353333
54,10,2,18000,79,19.1,0.0,0.0,4.464638626424669
55,10,2,21600,79,19.1,0.2,0.0,0.2907633680135495
56,10,2,25200,79,19.2,0.0,0.0,0.2907633680135495
57,10,2,28800,79,19.2,0.0,0.0,0.2907633680135495
58,10,2,32400,79,19.2,0.0,0.0,0.2907633680135495
59,10,2,36000,79,19.1,0.0,0.0,0.2907633680135495
60,10,2,39600,79,18.9,0.0,0.0,0.2907633680135495
61,10,2,43200,79,18.9,0.0,0.0,1.3186138797964582
62,10,2,46800,79,18.8,0.0,0.0,2.6629128562306406
63,10,2,50400,79,18.6,0.0,0.0,0.3656003834983034
64,10,2,54000,79,18.8,0.0,15.0,19.115895980161735
65,10,2,57600,79,19.7,0.0,27.0,37.65682781850502
66,10,2,61200,79,20.4,0.0,43.0,61.62810900033024
67,10,2,64800,79,21.6,0.0,167.0,59.33480795646293
68,10,2,68400,79,21.4,0.2,136.0,36.78099327576884
69,10,2,72000,79,22.9,0.0,342.0,18.899800071098607
70,10,2,75600,79,23.3,0.0,309.0,15.342791887521102
71,10,2,79200,79,23.3,0.0,383.0,14.643925576728577
72,10,2,82800,79,21.5,0.0,154.0,12.589481856210465
73,10,3,0,78,20.8,0.0,124.0,9.009694545044509
74,10,3,3600,78,20.2,0.0,47.0,11.260354687978188
75,10,3,7200,78,19.6,0.0,2.0,5.747954820242734
76,10,3,10800,78,19.2,0.0,0.0,9.95876339785438
77,10,3,14400,78,18.9,0.0,0.0,11.135146242631087
78,10,3,18000,78,18.4,0.0,0.0,5.542331282535292
79,10,3,21600,78,18.0,0.0,0.0,5.49530386821295
80,10,3,25200,78,17.7,1.5,0.0,0.795566989306977
81,10,3,28800,78,17.7,0.0,0.0,0.0
82,10,3,32400,78,17.4,0.0,0.0,0.0
83,10,3,36000,78,16.9,0.0,0.0,0.0
84,10,3,39600,78,16.9,0.0,0.0,0.0
85,10,3,43200,78,16.9,0.0,0.0,0.0
86,10,3,46800,78,16.9,0.0,0.0,0.0
87,10,3,50400,78,16.8,0.2,0.0,1.9000963175492878
88,10,3,54000,78,17.0,0.2,20.0,13.359639570149572
89,10,3,57600,78,17.6,0.2,54.0,28.215958026830986
90,10,3,61200,78,18.6,0.2,161.0,36.55562445929038
91,10,3,64800,78,19.6,0.0,190.0,35.190778197264734
92,10,3,68400,78,22.1,0.0,385.0,37.62520023309575
93,10,3,72000,78,22.7,0.0,333.0,50.86793354488045
94,10,3,75600,78,22.9,0.0,202.0,37.01506922358176
95,10,3,79200,78,22.6,0.0,184.0,17.852888090234796
96,10,3,82800,78,22.2,0.0,180.0,14.227397334205369
97,10,4,0,77,21.2,0.0,105.0,8.386739951045902
98,10,4,3600,77,19.9,0.0,47.0,3.8866379568279332
99,10,4,7200,77,18.7,0.0,5.0,6.521385670316242
100,10,4,10800,77,18.0,0.0,0.0,6.118260314108879
101,10,4,14400,77,17.3,0.0,0.0,0.39339111061795984
102,10,4,18000,77,16.7,0.0,0.0,0.0
103,10,4,21600,77,16.5,0.0,0.0,0.0
104,10,4,25200,77,16.9,0.0,0.0,0.0
105,10,4,28800,77,16.6,0.0,0.0,0.0
106,10,4,32400,77,16.1,0.0,0.0,0.0
107,10,4,36000,77,16.0,0.0,0.0,0.0
108,10,4,39600,77,15.6,0.0,0.0,0.0
109,10,4,43200,77,15.5,0.0,0.0,0.0
110,10,4,46800,77,15.6,0.0,0.0,0.0
111,10,4,50400,77,15.1,0.0,0.0,0.0
112,10,4,54000,77,16.0,0.0,37.0,0.0
113,10,4,57600,77,18.3,0.0,150.0,1.1129609053497942
114,10,4,61200,77,20.6,0.0,341.0,10.773985835499282
115,10,4,64800,77,22.9,0.0,490.0,10.600007230940083
116,10,4,68400,77,25.1,0.0,617.0,6.821220397945848
117,10,4,72000,77,26.8,0.0,656.0,7.7044702129300635
118,10,4,75600,77,27.9,0.0,658.0,7.508913987160163
119,10,4,79200,77,26.8,0.0,582.0,5.9289538268689785
120,10,4,82800,77,24.6,0.0,464.0,2.6384876033057854
121,10,5,0,76,23.1,0.0,286.0,0.0
122,10,5,3600,76,21.1,0.0,99.0,0.0
123,10,5,7200,76,19.6,0.0,5.0,0.0
124,10,5,10800,76,18.8,0.0,0.0,0.0
125,10,5,14400,76,18.3,0.0,0.0,0.0
126,10,5,18000,76,17.6,0.0,0.0,0.0
127,10,5,21600,76,16.9,0.0,0.0,0.0
128,10,5,25200,76,16.7,0.0,0.0,0.0
129,10,5,28800,76,16.4,0.0,0.0,0.0
130,10,5,32400,76,16.1,0.0,0.0,0.0
131,10,5,36000,76,16.0,0.0,0.0,0.0
132,10,5,39600,76,16.4,0.0,0.0,0.0
133,10,5,43200,76,16.2,0.0,0.0,0.0
134,10,5,46800,76,15.9,0.0,0.0,0.0
135,10,5,50400,76,15.2,0.0,0.0,0.0
136,10,5,54000,76,16.5,0.0,16.0,0.0
137,10,5,57600,76,18.4,0.0,98.0,0.0
138,10,5,61200,76,20.5,0.0,304.0,0.0
139,10,5,64800,76,21.9,0.0,311.0,0.0
