,0
0,129.47641541666667
1,121.72122095238088
2,117.82870898809523
3,116.65251583333334
4,120.56158577380955
5,134.77955452380942
6,154.662231547619
7,172.88155273809528
8,142.2421045833334
9,116.17148249999998
10,103.92368285714284
11,103.96750089285715
12,97.63683101190476
13,97.8067832142857
14,99.22077309523812
15,105.44832452380953
16,147.2298872023809
17,200.10024226190484
18,259.83462285714285
19,200.2653048809524
20,179.58402535714293
21,170.85915285714293
22,158.91493994047622
23,141.27298502994017
